Position_x,Position_y,value
0.65,0.5,1.02788
0.7,0.5,0.889702
0.75,0.5,0.721486
0.8,0.5,0.523098
0.85,0.5,0.296208
0.9,0.5,0.0453382
0.95,0.5,-0.222954
1,0.5,-0.5
0,0.45,1.5
0.05,0.45,1.48602
0.1,0.45,1.47178
0.15,0.45,1.45703
0.2,0.45,1.44137
0.25,0.45,1.42414
0.3,0.45,1.40426
0.35,0.45,1.38024
0.4,0.45,1.34994
0.45,0.45,1.31074
0.5,0.45,1.25928
0.55,0.45,1.19197
0.6,0.45,1.10473
0.65,0.45,0.993984
0.7,0.45,0.856428
0.75,0.45,0.690383
0.8,0.45,0.495433
0.85,0.45,0.273742
0.9,0.45,0.0293408
0.95,0.45,-0.231227
1,0.45,-0.5
0,0.4,1.5
0.05,0.4,1.48176
0.1,0.4,1.46324
0.15,0.4,1.4442
0.2,0.4,1.42428
0.25,0.4,1.40281
0.3,0.4,1.37882
0.35,0.4,1.3508
0.4,0.4,1.31683
0.45,0.4,1.27425
0.5,0.4,1.22006
0.55,0.4,1.15062
0.6,0.4,1.06236
0.65,0.4,0.951589
0.7,0.4,0.815642
0.75,0.4,0.652561
0.8,0.4,0.462509
0.85,0.4,0.247156
0.9,0.4,0.0107537
0.95,0.4,-0.240847
1,0.4,-0.5
0,0.35,1.5
0.05,0.35,1.47627
0.1,0.35,1.45223
0.15,0.35,1.42767
0.2,0.35,1.40225
0.25,0.35,1.37538
0.3,0.35,1.34609
0.35,0.35,1.31307
0.4,0.35,1.27439
0.45,0.35,1.22773
0.5,0.35,1.17011
0.55,0.35,1.09837
0.6,0.35,1.00891
0.65,0.35,0.898685
0.7,0.35,0.764831
0.75,0.35,0.60605
0.8,0.35,0.422054
0.85,0.35,0.214912
0.9,0.35,-0.0118276
0.95,0.35,-0.252413
1,0.35,-0.5
0,0.3,1.5
0.05,0.3,1.4694
0.1,0.3,1.43844
0.15,0.3,1.40697
0.2,0.3,1.37469
0.25,0.3,1.34105
0.3,0.3,1.30521
0.35,0.3,1.26591
0.4,0.3,1.22151
0.45,0.3,1.16976
0.5,0.3,1.10812
0.55,0.3,1.0335
0.6,0.3,0.942957
0.65,0.3,0.833358
0.7,0.3,0.702579
0.75,0.3,0.548985
0.8,0.3,0.372851
0.85,0.3,0.175593
0.9,0.3,-0.0391346
0.95,0.3,-0.266464
1,0.3,-0.5
0,0.25,1.5
0.05,0.25,1.46104
0.1,0.25,1.4217
0.15,0.25,1.38185
0.2,0.25,1.34124
0.25,0.25,1.29942
0.3,0.25,1.25564
0.35,0.25,1.20883
0.4,0.25,1.15747
0.45,0.25,1.09971
0.5,0.25,1.03316
0.55,0.25,0.955353
0.6,0.25,0.863396
0.65,0.25,0.754941
0.7,0.25,0.627705
0.75,0.25,0.480754
0.8,0.25,0.313858
0.85,0.25,0.128745
0.9,0.25,-0.0717943
0.95,0.25,-0.283169
1,0.25,-0.5
0,0.2,1.5
0.05,0.2,1.45121
0.1,0.2,1.40199
0.15,0.2,1.35229
0.2,0.2,1.30192
0.25,0.2,1.25049
0.3,0.2,1.19742
0.35,0.2,1.14178
0.4,0.2,1.08237
0.45,0.2,1.01753
0.5,0.2,0.945431
0.55,0.2,0.863781
0.6,0.2,0.770472
0.65,0.2,0.663196
0.7,0.2,0.540461
0.75,0.2,0.401064
0.8,0.2,0.245275
0.85,0.2,0.0741142
0.9,0.2,-0.109698
0.95,0.2,-0.30263
1,0.2,-0.5
0,0.15,1.5
0.05,0.15,1.43998
0.1,0.15,1.37951
0.15,0.15,1.3186
0.2,0.15,1.25712
0.25,0.15,1.19481
0.3,0.15,1.13118
0.35,0.15,1.06558
0.4,0.15,0.997001
0.45,0.15,0.92426
0.5,0.15,0.84579
0.55,0.15,0.76001
0.6,0.15,0.665043
0.65,0.15,0.559398
0.7,0.15,0.441586
0.75,0.15,0.311051
0.8,0.15,0.167634
0.85,0.15,0.0124949
0.9,0.15,-0.152569
0.95,0.15,-0.324561
1,0.15,-0.5
0,0.1,1.5
0.05,0.1,1.42754
0.1,0.1,1.35464
0.15,0.1,1.28137
0.2,0.1,1.20768
0.25,0.1,1.1334
0.3,0.1,1.05823
0.35,0.1,0.981678
0.4,0.1,0.903117
0.45,0.1,0.821663
0.5,0.1,0.736352
0.55,0.1,0.645965
0.6,0.1,0.549398
0.65,0.1,0.445424
0.7,0.1,0.333273
