Position_x,Position_y,value
0.65,0.5,1.47317
0.7,0.5,1.47317
0.75,0.5,1.47317
0.8,0.5,1.47317
0.85,0.5,1.47317
0.9,0.5,1.4738
0.95,0.5,1.47417
1,0.5,-0.5
0,0.45,1.5
0.05,0.45,1.47321
0.1,0.45,1.47318
0.15,0.45,1.47317
0.2,0.45,1.47317
0.25,0.45,1.47317
0.3,0.45,1.47317
0.35,0.45,1.47317
0.4,0.45,1.47317
0.45,0.45,1.47317
0.5,0.45,1.47317
0.55,0.45,1.47317
0.6,0.45,1.47317
0.65,0.45,1.47317
0.7,0.45,1.47317
0.75,0.45,1.47317
0.8,0.45,1.47317
0.85,0.45,1.47317
0.9,0.45,1.4738
0.95,0.45,1.47417
1,0.45,-0.5
0,0.4,1.5
0.05,0.4,1.47321
0.1,0.4,1.47318
0.15,0.4,1.47317
0.2,0.4,1.47317
0.25,0.4,1.47317
0.3,0.4,1.47317
0.35,0.4,1.47317
0.4,0.4,1.47317
0.45,0.4,1.47317
0.5,0.4,1.47317
0.55,0.4,1.47317
0.6,0.4,1.47317
0.65,0.4,1.47317
0.7,0.4,1.47317
0.75,0.4,1.47317
0.8,0.4,1.47317
0.85,0.4,1.47317
0.9,0.4,1.4738
0.95,0.4,1.47417
1,0.4,-0.5
0,0.35,1.5
0.05,0.35,1.47321
0.1,0.35,1.47318
0.15,0.35,1.47317
0.2,0.35,1.47317
0.25,0.35,1.47317
0.3,0.35,1.47317
0.35,0.35,1.47317
0.4,0.35,1.47317
0.45,0.35,1.47317
0.5,0.35,1.47317
0.55,0.35,1.47317
0.6,0.35,1.47317
0.65,0.35,1.47317
0.7,0.35,1.47317
0.75,0.35,1.47317
0.8,0.35,1.47317
0.85,0.35,1.47317
0.9,0.35,1.4738
0.95,0.35,1.47417
1,0.35,-0.5
0,0.3,1.5
0.05,0.3,1.47321
0.1,0.3,1.47318
0.15,0.3,1.47317
0.2,0.3,1.47317
0.25,0.3,1.47317
0.3,0.3,1.47317
0.35,0.3,1.47317
0.4,0.3,1.47317
0.45,0.3,1.47317
0.5,0.3,1.47317
0.55,0.3,1.47317
0.6,0.3,1.47317
0.65,0.3,1.47317
0.7,0.3,1.47317
0.75,0.3,1.47317
0.8,0.3,1.47317
0.85,0.3,1.47317
0.9,0.3,1.4738
0.95,0.3,1.47417
1,0.3,-0.5
0,0.25,1.5
0.05,0.25,1.47321
0.1,0.25,1.47318
0.15,0.25,1.47317
0.2,0.25,1.47317
0.25,0.25,1.47317
0.3,0.25,1.47317
0.35,0.25,1.47317
0.4,0.25,1.47317
0.45,0.25,1.47317
0.5,0.25,1.47317
0.55,0.25,1.47317
0.6,0.25,1.47317
0.65,0.25,1.47317
0.7,0.25,1.47317
0.75,0.25,1.47317
0.8,0.25,1.47317
0.85,0.25,1.47317
0.9,0.25,1.4738
0.95,0.25,1.47417
1,0.25,-0.5
0,0.2,1.5
0.05,0.2,1.47321
0.1,0.2,1.47318
0.15,0.2,1.47317
0.2,0.2,1.47317
0.25,0.2,1.47317
0.3,0.2,1.47317
0.35,0.2,1.47317
0.4,0.2,1.47317
0.45,0.2,1.47317
0.5,0.2,1.47317
0.55,0.2,1.47317
0.6,0.2,1.47317
0.65,0.2,1.47317
0.7,0.2,1.47317
0.75,0.2,1.47317
0.8,0.2,1.47317
0.85,0.2,1.47317
0.9,0.2,1.4738
0.95,0.2,1.47417
1,0.2,-0.5
0,0.15,1.5
0.05,0.15,1.47321
0.1,0.15,1.47318
0.15,0.15,1.47317
0.2,0.15,1.47317
0.25,0.15,1.47317
0.3,0.15,1.47317
0.35,0.15,1.47317
0.4,0.15,1.47317
0.45,0.15,1.47317
0.5,0.15,1.47317
0.55,0.15,1.47317
0.6,0.15,1.47317
0.65,0.15,1.47317
0.7,0.15,1.47317
0.75,0.15,1.47317
0.8,0.15,1.47317
0.85,0.15,1.47317
0.9,0.15,1.4738
0.95,0.15,1.47417
1,0.15,-0.5
0,0.1,1.5
0.05,0.1,1.47319
0.1,0.1,1.47314
0.15,0.1,1.4731
0.2,0.1,1.47307
