Position_x,Position_y,value
0.875,0.875,1.5
0.9,0.875,1.5
0.925,0.875,1.5
0.95,0.875,-0.5
0.975,0.875,-0.5
1,0.875,-0.5
0,0.85,1.5
0.025,0.85,1.5
0.05,0.85,1.5
0.075,0.85,1.5
0.1,0.85,1.5
0.125,0.85,1.5
0.15,0.85,1.5
0.175,0.85,1.5
0.2,0.85,1.5
0.225,0.85,1.5
0.25,0.85,1.5
0.275,0.85,1.5
0.3,0.85,1.5
0.325,0.85,1.5
0.35,0.85,1.5
0.375,0.85,1.5
0.4,0.85,1.5
0.425,0.85,1.5
0.45,0.85,1.5
0.475,0.85,1.5
0.5,0.85,1.5
0.525,0.85,1.5
0.55,0.85,1.5
0.575,0.85,1.5
0.6,0.85,1.5
0.625,0.85,1.5
0.65,0.85,1.5
0.675,0.85,1.5
0.7,0.85,1.5
0.725,0.85,1.5
0.75,0.85,1.5
0.775,0.85,1.5
0.8,0.85,1.5
0.825,0.85,1.5
0.85,0.85,1.5
0.875,0.85,1.5
0.9,0.85,1.5
0.925,0.85,1.5
0.95,0.85,-0.5
0.975,0.85,-0.5
1,0.85,-0.5
0,0.825,1.5
0.025,0.825,1.5
0.05,0.825,1.5
0.075,0.825,1.5
0.1,0.825,1.5
0.125,0.825,1.5
0.15,0.825,1.5
0.175,0.825,1.5
0.2,0.825,1.5
0.225,0.825,1.5
0.25,0.825,1.5
0.275,0.825,1.5
0.3,0.825,1.5
0.325,0.825,1.5
0.35,0.825,1.5
0.375,0.825,1.5
0.4,0.825,1.5
0.425,0.825,1.5
0.45,0.825,1.5
0.475,0.825,1.5
0.5,0.825,1.5
0.525,0.825,1.5
0.55,0.825,1.5
0.575,0.825,1.5
0.6,0.825,1.5
0.625,0.825,1.5
0.65,0.825,1.5
0.675,0.825,1.5
0.7,0.825,1.5
0.725,0.825,1.5
0.75,0.825,1.5
0.775,0.825,1.5
0.8,0.825,1.5
0.825,0.825,1.5
0.85,0.825,1.5
0.875,0.825,1.5
0.9,0.825,1.5
0.925,0.825,-0.5
0.95,0.825,-0.5
0.975,0.825,-0.5
1,0.825,-0.5
0,0.8,1.5
0.025,0.8,1.5
0.05,0.8,1.5
0.075,0.8,1.5
0.1,0.8,1.5
0.125,0.8,1.5
0.15,0.8,1.5
0.175,0.8,1.5
0.2,0.8,1.5
0.225,0.8,1.5
0.25,0.8,1.5
0.275,0.8,1.5
0.3,0.8,1.5
0.325,0.8,1.5
0.35,0.8,1.5
0.375,0.8,1.5
0.4,0.8,1.5
0.425,0.8,1.5
0.45,0.8,1.5
0.475,0.8,1.5
0.5,0.8,1.5
0.525,0.8,1.5
0.55,0.8,1.5
0.575,0.8,1.5
0.6,0.8,1.5
0.625,0.8,1.5
0.65,0.8,1.5
0.675,0.8,1.5
