Position_x,Position_y,value
0.525,0.875,1.52818
0.55,0.875,1.52818
0.575,0.875,1.52818
0.6,0.875,1.52818
0.625,0.875,1.52818
0.65,0.875,1.52818
0.675,0.875,1.52818
0.7,0.875,1.52818
0.725,0.875,1.52818
0.75,0.875,1.52817
0.775,0.875,1.52818
0.8,0.875,1.52831
0.825,0.875,1.52851
0.85,0.875,1.5266
0.875,0.875,1.51918
0.9,0.875,1.52759
0.925,0.875,1.63269
0.95,0.875,1.82439
0.975,0.875,1.53656
1,0.875,-0.5
0,0.85,1.5
0.025,0.85,1.52767
0.05,0.85,1.53043
0.075,0.85,1.52881
0.1,0.85,1.52819
0.125,0.85,1.52818
0.15,0.85,1.52821
0.175,0.85,1.52822
0.2,0.85,1.52822
0.225,0.85,1.52822
0.25,0.85,1.52822
0.275,0.85,1.52822
0.3,0.85,1.52822
0.325,0.85,1.52822
0.35,0.85,1.52822
0.375,0.85,1.52822
0.4,0.85,1.52822
0.425,0.85,1.52822
0.45,0.85,1.52822
0.475,0.85,1.52822
0.5,0.85,1.52822
0.525,0.85,1.52822
0.55,0.85,1.52822
0.575,0.85,1.52822
0.6,0.85,1.52822
0.625,0.85,1.52822
0.65,0.85,1.52822
0.675,0.85,1.52822
0.7,0.85,1.52822
0.725,0.85,1.52822
0.75,0.85,1.52821
0.775,0.85,1.52821
0.8,0.85,1.52834
0.825,0.85,1.52854
0.85,0.85,1.52663
0.875,0.85,1.5192
0.9,0.85,1.52763
0.925,0.85,1.63289
0.95,0.85,1.82473
0.975,0.85,1.53661
1,0.85,-0.5
0,0.825,1.5
0.025,0.825,1.52767
0.05,0.825,1.53043
0.075,0.825,1.52881
0.1,0.825,1.5282
0.125,0.825,1.52818
0.15,0.825,1.52822
0.175,0.825,1.52822
0.2,0.825,1.52822
0.225,0.825,1.52822
0.25,0.825,1.52822
0.275,0.825,1.52822
0.3,0.825,1.52822
0.325,0.825,1.52822
0.35,0.825,1.52822
0.375,0.825,1.52822
0.4,0.825,1.52822
0.425,0.825,1.52822
0.45,0.825,1.52822
0.475,0.825,1.52822
0.5,0.825,1.52822
0.525,0.825,1.52822
0.55,0.825,1.52822
0.575,0.825,1.52822
0.6,0.825,1.52822
0.625,0.825,1.52822
0.65,0.825,1.52822
0.675,0.825,1.52822
